,Review_Date,Author,Rating,Review_Title,Review,Review_Url
21,3 August 2023,AngelHonesty,5," Not what I Expected
","I played with barbies a lot as a kid, so I thought this movie was going to be fun. The trailer looked great, I thought, why not, let's have a girls movie night, kick back relax, watch a funny iconic movie about my favorite toys as a kid. But I was greatly let down really fast. The movie was all about a strong message of what a woman is, what a man is, how the world defines those roles and how we should just be whoever we are. There was nothing in the movie that made me laugh. It all felt kinda heavy with the message they were telling. It's definitely not a kids movie either, I don't think they would understand half of it. Really wasn't happy with the movie.",/review/rw9221648/?ref_=tt_urv
22,20 July 2023,Genti25,8," You are Kenough
","This movie is so much fun. It starts off really strong although the story does move away from ""Barbieland"" sooner than I would have liked. Nonetheless, it regains its footing with the final act in particular and I could not stop laughing at Ryan Gosling's portrayal of Ken. That song will forever be stuck in my head.",/review/rw9221648/?ref_=tt_urv
23,20 July 2023,fscsgxp,6," Amazing Cast & Set, but the political message was too strong
","I've been excited for this movie for over a year. The casting was perfect and the acting was amazing! The set was next level, the tiny details were all there and even the highest barbie fan couldn't ask for anything more from it. It is PERFECTION.",/review/rw9221648/?ref_=tt_urv
24,23 July 2023,herrcarter-92161,5," Somewhat of a Jumbled Mess
",My 15-year old daughter wrote the following review and posted it to my IMDB account.,/review/rw9221648/?ref_=tt_urv
25,1 August 2023,zkonedog,10," An Amazingly Perfect Blend Of Social Satire & Fun
","For a film like ""Barbie"" to succeed, every aspect had to come together perfectly. It needed to consummately balance satire with fun, the casting had to be spot-on, and the writing/directing required to pull off such a feat would need to be exquisite. Somewhat remarkably, that is exactly what writer/director Greta Gerwig pulls off here to create the best movie of summer 2023.",/review/rw9221648/?ref_=tt_urv
26,29 July 2023,planktonrules,6," Good...not great
","""Barbie"" is a movie that is setting all sorts of records, so it's obvious that the film is touching many people. For some, it's the fun of seeing a doll come to life, for others it's the theme of empowerment that make the movie a big hit. As for me, I did like it and thought it was a pretty good movie...but it's not for everyone.",/review/rw9221648/?ref_=tt_urv
27,19 July 2023,andypaps101,8," ""Barbie"" - A Multifaceted Exploration of Femininity, Consumerism, and Existentialism
",I got free tickets for a preview and to be honest I was more than a little embarrassed to go. I did not tell a soul. As a cool middle aged gentleman if word got out this could have really affected my street cred.,/review/rw9221648/?ref_=tt_urv
28,21 July 2023,andermic18,6," No Direction
","The movie was very funny and really enjoyable to laugh at with the full theatre. However, the messages of the movie were the problem. I was never really sure what I was supposed to take away, there was nothing about finding equality or love it was all about how every man cat falls every woman or women can't be anything. It was really silly because there was no accurate reflection of America at any single point except for Barbie getting called a Fascist for no reason by a 14 year old. I enjoyed how they called out women for hating women and how they really tried to preach empowerment and the ability to be anything, but at the same time there was so much resentment and they ended the movie by reinstating hate. The majority of the movie was hating men as much as possible. That's just whatever because what really matters is the story. Well it fell short on that mark and it was really disappointing. The pacing was horrible, the villain won and was pretty irrelevant in the long run, the story was all over the place, and it is totally not for kids. I think the worst part is how disappointed I was at the opportunity to really make something special and it just wasn't. 6 points for all the laughs and fun I had and I would expect 6-7 to be an appropriate rating.",/review/rw9221648/?ref_=tt_urv
29,4 August 2023,thePopcornExplorer,9," I don't see how it was preachy
","In this day and age with society overall becoming more and more polarized and our leaders around the world doing nothing to improve dialogue, it seems that people became broken records. Now everything in the movies and TV shows is perceived as preachy, not everything is a conspiracy, people need to consider that movies and TV shows at its core, and specially the good ones, are about sharing perspectives and allow the audience, if their minds are opened to it, to acknowledge all sides of the stories.",/review/rw9221648/?ref_=tt_urv
30,19 July 2023,tm-sheehan,6," Didn't hit my pink spot
","My Review - Barbie
In Cinemas now
My Rating 6.5/10",/review/rw9221648/?ref_=tt_urv
31,27 August 2023,max-850,4," Preacher Barbie?
","I believe I came to this movie with an open mind. In my opinion a movie balled Barbie needs to be a comedy. And while there were pieces here and there that were funny, for the most part we (and everyone in the theater) only laughed occasionally. The production design and costumes are great. The screenplay is the weakest part. The direction is next weakest. And those two caused a great cast to overact. When this movie takes itself seriously it gets tedious. It's preachy. We are constantly being told what we are seeing and what we should think about what we are thinking. This is not engaging. Why can't we think for ourselves based on what we see? I hated being treated like a ten year old and being spoonfed the morals, thoughts and feelings. But then maybe the target audience is ten-year-olds. In any event, I thought it would never end. By the time they were talking about ordinary Barbie, all I could think was ""Sanctimonious Barbie.""",/review/rw9221648/?ref_=tt_urv
32,29 July 2023,cmdown-50506,9," Now I am become Barbie Girl, the enjoyer of Barbie worlds
","I have been waiting for this to release for so long and I finally got to watch it today. I absolutely loved it! It was fun, it had Margot Robbie (and extra stuff for Tarantino's out there if you know what I mean) And it had some absolute bangers! What more could you want from a new summer classic?",/review/rw9221648/?ref_=tt_urv
33,15 September 2023,maxlagerholm,6," Excellent marketing team.
",They really did some fantastic marketing with this movie.,/review/rw9221648/?ref_=tt_urv
34,24 July 2023,brianjohnson-20043,4," This movie tries to be too much
",I wanted to like it. But I just didn't. The story wasn't very compelling to me because it seemed as if the entire point of much of the movie was to provide learning moments for viewers with some slapstick comedy and quick-delivery comedy. The story itself should nearly always be more important.,/review/rw9221648/?ref_=tt_urv
35,21 July 2023,masonsaul,10," The best version of itself
","Barbie is everything expected of it and so much more, a self aware and meta comedy made for fans and newcomers alike that's also incredibly profound, layered and really funny. It's the best version of itself and just immensely satisfying that the Barbie movie that got made on this scale is so weird and unique.",/review/rw9221648/?ref_=tt_urv
36,24 July 2023,GhostFoxX,6," Misleading.
","I personally expected the movie to be fun and adventurous. Correct me if I'm wrong, but isn't that what it is supposed to be? It's literally a movie about Barbie. Instead, it felt more like an agent of woke culture, and basically Mattel's (the company that produces Barbie dolls) way of capitalizing the emotional aspect of the cinephiles to make their business more popular and trendier. It continuously tried to portray the fact that Mattel is no more producing white barbie dolls, it is now producing dolls of all colors and races. Well, that is definitely a good thing, but making most of the movie focus on that aspect felt very boring and wrong. If they didn't quite make a movie that is fun and adventurous, why make the marketing events misleading? They could've just focused on the audience for whom it was made, rather than on the entire world through their absurdly irrelevant marketing events that made the world think that this movie is going to be all about fun and adventure. Sadly, it was not nearly as enjoyable as the misleading marketing made it seem.",/review/rw9221648/?ref_=tt_urv
37,21 July 2023,imdbmovieguy,," Honestly - not funny and light enough
","I really enjoyed the first 20 minutes of the movie. It was very upbeat, positive and light. However, things soon became negative about 20 - 25 minutes into the movie. I couldn't stand it. Barbie's world and attitude was a constant bummer. Ken's attitude was sour. For the next hour (and more) the movie just lived in negativity.",/review/rw9221648/?ref_=tt_urv
38,19 July 2023,anjamulder,8," not for everyone
","This is very much a movie that will get devided opinions on it, my cousin said well this is two hours of my life i will never get back, and me? I left the theatre in such a good mood. It was the sense of humor for me, laughed so hard. Specially Ryan Gossling was sooooo good and funny, many familiar faces to spot also. And margot robbie come on... the perfect casting for Barbie. I also have to say, the way they created Barbie land was so amazing, it just makes you just want to there. I don't really have anything bad to say about this movie. I can understand not everyone will love it. But i am sure it is a iconic film already.",/review/rw9221648/?ref_=tt_urv
39,19 July 2023,mark-217-307033,6," Fun film whose script falls in on itself
","Margot Robbie's performance is perfect, and no other actor could've embodied the character as well as she does. However, Ryan Gosling is the film-stealer. I often forget his comedic talent, and he's given a lot of room to flex it in this. A cleverly executed Matchbox Twenty joke is particularly memorable.",/review/rw9221648/?ref_=tt_urv
40,23 July 2023,eoinageary,8," I am Kenough
",So I went into the movie with little to no expectations and I was pleasantly impressed with the movie overall.,/review/rw9221648/?ref_=tt_urv
41,21 July 2023,arslanmanzoor123,6," Quite disappointing
","Some friends freaking out that I went to see Barbie lol I mean I mentioned I went coz my sister insisted since ages. Anyway the movie was bad. These days, every other director and producer wants to convey messages about women rights and feminism through whatever platform possible and this movie was a perfect example of that with sheer cringe to convey all that. I wished I had gotten the ticket for Oppenheimer in the same timings as my sister's Barbie show. Other than that, the acting done by Margot Robbie and Ryan Gosling was great so can't take that away from them. They did justice to their roles.",/review/rw9221648/?ref_=tt_urv
42,21 July 2023,MaskedMinty,5," Preach Preach Preach
","Let me start by saying that I'm by no means a conservative or traditional woman. I believe that inequality for women still is rampant even in first world countries and that we go through many problems. But damn...this movie is so corporate and shallow. It's clearly ordered and tailored by executives at Mattel to rebrand and sell more dolls. The movie starts well and has the potential of becoming something very good, but then it just goes downhill: the premise of the owner's feeling being projected onto the doll was going to lead to a very nice build up about a person's life journey and then Barbie and Ken go to the human world and cue in the speeches and preaching. This movie suffers from a bad case of showing and not telling, they keep repeating the same dialogues: patriarchy bad patriarchy bad patriarchy bad sexism sexism sexism, not even one time but MULTIPLE TIMES. These characters go into random rants like its a ted talk! The chemistry between the mother and daughter is absolutely nonexistent and their relationship is so cringe, You cant root for them or feel their feelings at all. Barbie should have understood how Kens had been feeling in the Barbieland the whole time which is a mimic of how many women are still treated in the society: just existing for the gaze of a woman (man). Yet what do they do? They manipulate them (with a super nonsense plan) and force them back to their original position while she gives him a half assed apology that could have been done better and end up to a more accurate point about equality. (I guess this is again meta and a reflection of how women are pitted against each other while people in charge benefit from that but its so badly done that it feels meh.)
I can imagine that in the boardroom they went through a discussion like this: People are going to think this is a feel good movie so we need to give them something deeper but also lets make it absurd and fast paced so that we can finish the plot quickly and also jump on the ""not taking itself serious"" bandwagon and also market these dolls again in the age of smartphone kids. The only reason this movie gets at 5 from me is the humor, which sometimes becomes very meta and creative and Margot Robbie and Ryan Gosling have acted very well. Besides this, they could have just given us a simple feel good movie and I would have respected the creators more. Pass.",/review/rw9221648/?ref_=tt_urv
43,23 July 2023,subxerogravity,8," It's like G.I Joe...For girls! Seriously, and I love it for that!
","I mean, Margo Robbie as Barbie just made perfect sense, but I really wanted to see the movie when I herd that Ryian Gosling was going to be Ken, I just thought that would be hilarious and I was right!",/review/rw9221648/?ref_=tt_urv
44,19 July 2023,AvionPrince16,6," Barbie land and reality
","Im not really disappointed or love the movie to be honest. It was kind of weird and strange at the beginning: we understand it later because we are in the Barbie world. So they played with the culture reference of the barbie, the dolls and what they represent: an ideal world with where the womans are in power. Things will get pretty normal after they enter the real world and all the problems: sexual remark, womens and their place in society (the inequality with mens.) I was pretty sure they will talk about the problems with womans and their complex because of Barbie and the perfect women she is and how this is contrasted with the real world. Its pretty obvious that they will talk about it. I love also how Ken will also notice how mens are more powerful in the real world: its like everyone see that reality is not really what they perceived themselves in their own reality and power will shift also later in Barbie Land. I understand why they act like this and stuff but i didnt really get into the movie to be honest: i only identify myself when they talked about society and business but all the musical things, the choregraphy and even the morality was kind of superficial. But i enjoyed that Barbie realised the problems of our world and compare to her own. Some moments was funny and some more serious or drama sometimes even if its pretty soft because we are in Barbie Land. I mean i spend a great time but it was kind of ok. And i still think its a great Barbie movie: the task was not easy to represent that world but i enjoyed the set design, the colors, the camera movements. I think people who played with Barbie dolls or just know the universe will be happy; they have a lot of references to the world and a lot of Barbie references to the dolls and the differents clothes and the impact of her in society. Some moments were also absurd ( the fight with all the Kens). Its good anyway.",/review/rw9221648/?ref_=tt_urv
45,25 July 2023,Dello_,4," Funny and sharp first half, boring and baffling second one
","I had great expectations for the Barbie movie, mainly because of the writers (Greta Gerwig and Noah Baumbach) and the stellar cast with Margot Robbie and Ryan Gosling leading the way. Unfortunately I found myself disappointed, bored and shocked by some messages the movie tries to convey.",/review/rw9221648/?ref_=tt_urv
46,23 July 2023,Anurag-Shetty,10," A wholesome delight!
","Barbie is based on Mattel's iconic plastic dolls of the same name. Barbie(Margot Robbie) lives a very happy life in Barbie Land, along with her fellow Barbies, Ken(Ryan Gosling) & his fellow Kens. Suddenly, Barbie goes through an existential crisis that makes her question Barbie Land & the truth of her existence.",/review/rw9221648/?ref_=tt_urv
47,19 July 2023,dreopdreef,6," Not so unique as expected
",The concept of a Barbie movie is really unique and got me all exited. But unfortunately to me it delivers the same messages that we keep hearing as of lately.,/review/rw9221648/?ref_=tt_urv
48,21 July 2023,rannynm,10," What A Film! I Was Ecstatic About Seeing Barbie And It Definitely Exceeded My Expectations By Far.
","What a film! I was ecstatic about seeing Barbie and it definitely exceeded my expectations by far. As much as I was excited, I was a bit scared that the stakes were too high; after all Barbie is an icon and a part of so many people's childhood. For a film like this it's very easy to create something corny, disappointing, or unappealing to viewers. I'm so glad that Gretta Gerwig stepped up to the plate and created an absolute masterpiece.",/review/rw9221648/?ref_=tt_urv
49,25 July 2023,spika13,6," Too overrated
","Its like watching at ""Truman's show"" but all the set it's pink color with a hint of extreme feminist ideas. I grew up with barbie dolls and I felt very disappointed, I was expecting a different kind of story, the ending was the worst. I think the message should be more with the real feminist concept of Simone de Bouvoir, we all deserve the same rights. In the end Instead of just Barbie Land they should changed as; Barbie and Ken Land.",/review/rw9221648/?ref_=tt_urv
50,23 July 2023,Jeremy_Urquhart,8," Surprisingly good
","I think part of my brain rejects this for being a feature-length toy commercial, but it's a very small part of my brain (and that really wasn't where my mind was for the majority of the movie).",/review/rw9221648/?ref_=tt_urv
51,1 August 2023,badreviewer,6," This Barbie is dissapointed.
","Yes. Day by day it becomes more obvious that now the movies are made just because of the income they generate and nothing else. Ok, Barbie itself was not a creative idea, I know. And actually I didn't expect to see something unseen something unique in the first place, all in all it's ""Barbie"".",/review/rw9221648/?ref_=tt_urv
52,1 August 2023,fredrikgunerius,5," A trite, divisive and most likely futile battle of the sexes
","The big summer blockbuster of 2023 is a wonderful visual spectacle with a great deal of creative physical comedy, centered in and around the universe of Barbie, Mattel's historic toy doll. Unfortunately, the film tries to be and do much more than what the filmmakers ultimately are able to control and reel in. That a movie about Barbie would be guilty of Americanization is no surprise, and in many ways more than befitting, but the Americanization here isn't just about the history of the toy itself and all its cultural impacts - Barbie also views everything through the eyes of Hollywood anno 2023 - which arguably is a very particular and perhaps not that representative outlook. Instead of utilizing the fine foundation laid in the film's first third, director and co-writer Greta Gervig (Lady Bird, Little Women) gets herself lost in a trite, divisive and most likely futile battle of the sexes, which will leave youths - and perhaps particularly Europeans - feeling confused and conflicted. The filmmakers' supposed toying with stereotypes ultimately becomes more of a playing into them, especially towards the end when Gerwig staggers along desperately looking for closure and something meaningful to say. Alas, Barbie has ended up as a rather sad symptom of our times, when it could have been the wonderfully funny piece of femininity-appraising escapism it started out as. There are nonetheless several highlights here, such as the delightfully absurd opening sequence (a fine nod to Kubrick's 2001), the initial introduction of Barbie and Ken's days in Barbieland, and - of course - their first encounter with the real world.",/review/rw9221648/?ref_=tt_urv
53,27 July 2023,tylertubisjr,10," Barbie with a life lesson
","I was not expecting this movie to be great; I'm not into this kind of stuff, but still, I watched it, and man, it was great; some scenes are relatable to how people react to something nowadays, like, come on, everything and everyone can be cancelled, the overall acting of the cast is super great. I love it; almost all the song are catchy and complements the movie (like this song, by the way (Im just Ken)); the production set for this film is majestic, and parts of the movie are touching and somewhat relatable to our everyday life, and there can be something to learn from, very recommended to watch this with your whole family and friends.",/review/rw9221648/?ref_=tt_urv
54,29 August 2023,adamblackshaw-14445,6," Did I just watch a 2hr Mattel advertisement?
","BARBIE is a great example of hype over substance. It is laugh out loud at times and Gosling steals every scene he's in. The art direction is on point. What makes it tiresome is THE MESSAGE pummelled into the audience, but then were we expecting any subtly? Probably not. Ultimately my wife just thought, 'I already know this. I don't need to hear it. But maybe some women do?' I get her point. In the end it felt like we were being sold Barbie Dolls as some kind of icon of feminism. But seriously, they are a very poor example of female role models. Not surprisingly Mattel was one of the producers.",/review/rw9221648/?ref_=tt_urv
55,23 July 2023,jacobarch,3," Did I watch the same movie as everyone else lol
","While the production value, cinematography and acting were what you would expect from Margo Robbie and the supporting cast. I felt the movie fell short of not preaching to me and spreading a message of division rather than unity. Men and women cannot survive without each other but you'd never know it watching this movie. And me having my 13 year old daughter with me almost caused me to walk out of the theater. I kept on waiting for the writers to hit the direction of unity but it never came. After the movie my daughter brought up the message to me saying how she even noticed the weird agenda they're trying to push and said that is not a movie for the easily impressionable. Come to find out my daughter is better suited to take on the world that I thought she was. Proud day for me as a father.",/review/rw9221648/?ref_=tt_urv
56,10 August 2023,adamjohns-42575,8," A sheer pleasure to watch.
",Barbie (2023) -,/review/rw9221648/?ref_=tt_urv
57,23 July 2023,jacquihives,6," I had no expectations but was still underwhelmed
","I loved barbie growing up, and even at 42 years old I couldn't wait to go see the movie! I didn't have any expectations because I had no idea how they could make a movie about barbie that's for adults and not kids. I adored Barbieland, but unfortunately they leave it behind so fast and with it they also leave behind everything good about bringing barbie to life in a movie! It got silly, had no storyline, was overly political and woke, man bashing and made men silly, and I really didn't care for the ending which is just as well because it was abrupt and crude.",/review/rw9221648/?ref_=tt_urv
58,23 September 2023,Kirpianuscus,," fist of questions
",It seems very simple to define it . But the definition is more about yourself .,/review/rw9221648/?ref_=tt_urv
59,11 August 2023,tuticmerima-54865,10," Love it 😍
","The beauty in the movie isn't merely skin deep. The story woven throughout Barbie is a true testament to the power of belief in oneself and the importance of friendship and teamwork. Barbie's determination and courage in the face of challenges inspire viewers to embrace their own strengths and strive for greatness. The characters in Barbie are wonderfully developed, each with their own unique personalities that add depth and charm to the narrative. Barbie herself, with her resilience and strong sense of justice, is a shining example of a positive role model.",/review/rw9221648/?ref_=tt_urv
60,30 July 2023,ferguson-6,6," serious Barbie
","BARBIE (2023)
Greetings again from the darkness. A reasonable assumption could be made that a movie based on a doll so popular with pre-adolescent girls would be geared towards that audience. However, this is the era of comic book movies targeting ""grown-ups"", and since we know, based on her previous work (the exceptional LADY BIRD, 2017), Greta Gerwig is an intelligent filmmaker, a more reasonable assumption is that she purposefully aimed the movie at women who once played with Barbie dolls and now fill their days with work, family, and adulting. This strategy has proven to be box office gold, and the heavy dose of cosplay at screenings proves the lasting impact this plastic doll has had on many women who lined up for tickets.",/review/rw9221648/?ref_=tt_urv
61,22 July 2023,DoNotComeToTheCinemaDepressed,10," 🏩 Possibly a Masterpiece? 💒
","I Understand that Some People are Going to Have Big Big Problems with Some of the Messaging within this Film. But Sometimes, in Life 😂, You Just Have to Go With It.",/review/rw9221648/?ref_=tt_urv
62,7 September 2023,Snootz,6," Great presentation, but what point is it making?
",This is an odd movie. On the one hand the presentation of the Barbie world... and Mattel making fun of itself... is fantastic.,/review/rw9221648/?ref_=tt_urv
63,22 July 2023,shadowtramp,5," More of a marketing flick
",The brilliant marketing is what led us tonight to pay for the tickets. The brilliance ends there.,/review/rw9221648/?ref_=tt_urv
64,31 July 2023,christinawilliams-64144,10," Barbie Fantastic!
","The acting was amazing. Ryan Gosling should win an award for this. There was much laughter, tears, dancing, and conflict which all played out well. The acting resembled the characters as toys, down to every little detail. Phenomenal acting! The movie shows that Barbie and Ken, and the other characters have been completely thought out. The development was very deep and relates to the audience very well. The dialogue was great, too, as there was just enough of it, showing depth. Ties into the plot and theme thoroughly.",/review/rw9221648/?ref_=tt_urv
